Where?,"Где? Куда?"
here,"здесь, сюда"
there,"там, туда"
somewhere,"где-то"
nowhere,"нигде"
by,"у (около)"
by the window,"у окна"
from here,"отсюда"
from there,"оттуда"
close,"близко"
far,"далеко"
not far,"недалеко (ехать, идти)"
left,"левый"
on the left,"слева"
to the left,"налево"
right,"правый"
on the right,"справа"
to the right,"направо"
in front,"спереди"
front,"передний"
ahead,"вперед (движение)"
behind,"сзади (находиться)"
from behind,"сзади (подойти)"
back,"назад (движение), обратно)"
middle,"середина"
in the middle,"посередине"
at the side,"сбоку (со стороны)"
everywhere,"везде"
around,"вокруг"
from inside,"изнутри"
somewhere,"куда-то"
straight,"напрямик"
from anywhere,"откуда-нибудь"
from somewhere,"откуда-то"
firstly,"во-первых"
secondly,"во-вторых"
Why?,"Почему?"
for some reason,"почему-то"
because,"потому, что"
and,"и"
or,"или"
but,"но"
for,"для (предлог)"
too,"слишком"
only,"только"
exactly,"точно"
about,"около (~ 10 кг)"
approximately,"приблизительно"
approximate,"приблизительный"
almost,"почти"
the rest,"остальное"
the other,"другой (второй)"
other,"другой (иной)"
each,"каждый"
any,"любой"
many,"много (с исчисл.)"
much,"много (с неисчисл.)"
many people,"многие"
all,"все"
in exchange for,"в обмен на"
in exchange,"взамен"
by hand,"вручную"
hardly,"вряд ли"
probably,"наверное (вероятно)"
on purpose,"нарочно"
by accident,"случайно"
very,"очень"
for example,"например"
between,"между"
among,"среди"
so much,"столько"
especially,"особенно"
thirdly,"в-третьих"
suddenly,"вдруг"
at first,"вначале"
for the first time,"впервые"
long before,"задолго до"
for good,"насовсем"
never,"никогда"
again,"опять"
now,"теперь, сейчас"
often,"часто"
then,"тогда"
urgently,"срочно"
usually,"обычно"
by the way,"кстати"
possible,"возможно"
probably,"вероятно"
maybe,"может быть"
besides,"кроме того"
that's why,"поэтому"
in spite of,"несмотря на"
thanks to,"благодаря"
what,"что (местоимение)"
that,"что (союз)"
something,"что-то"
anything,"что-нибудь"
nothing,"ничего"
who,"кто"
someone,"кто-то"
somebody,"кто-нибудь"
nobody,"никто"
nobody's,"ничей"
somebody's,"чей-нибудь"
so,"так"
also,"также"
too,"тоже"
