human being,"человек"
man,"мужчина"
woman,"женщина"
child,"ребенок"
girl,"девочка"
boy,"мальчик"
teenager,"подросток"
old man,"старик"
old woman,"старая женщина"
organism,"организм"
heart,"сердце"
blood,"кровь"
artery,"артерия"
vein,"вена"
brain,"мозг"
nerve,"нерв"
vertebra,"позвонок"
spine,"позвоночник"
stomach,"желудок, живот"
intestines,"кишечник"
intestine,"кишка"
liver,"печень"
kidney,"почка"
bone,"кость"
skeleton,"скелет"
rib,"ребро"
skull,"череп"
muscle,"мышца"
biceps,"бицепс"
triceps,"трицепс"
tendon,"сухожилие"
joint,"сустав"
lungs,"легкие"
genitals,"половые органы"
skin,"кожа"
head,"голова"
face,"лицо"
nose,"нос"
mouth,"рот"
eye,"глаз"
eyes,"глаза"
pupil,"зрачок"
eyebrow,"бровь"
eyelash,"ресница"
eyelid,"веко"
tongue,"язык"
tooth,"зуб"
lips,"губы"
cheekbones,"скулы"
gum,"десна"
palate,"нёбо"
nostrils,"ноздри"
chin,"подбородок"
jaw,"челюсть"
cheek,"щека"
forehead,"лоб"
temple,"висок"
ear,"ухо"
back of the head,"затылок"
neck,"шея"
throat,"горло"
hair,"волосы"
hairstyle,"прическа"
haircut,"стрижка (прическа)"
wig,"парик"
mustache,"усы"
beard,"борода"
to have mustache,"носит усы"
plait,"коса"
sideboards,"бакенбарды"
red-haired,"рыжий (человек)"
grey,"седо (о волосах)"
bald,"лысый"
bald patch,"лысина"
ponytail,"хвост (прическа)"
fringe,"челка"
hand,"кисть"
arm,"рука (вся)"
finger,"палец"
thumb,"большой палец"
little finger,"мизинец"
nail,"ноготь"
fist,"кулак"
palm,"ладонь"
wrist,"запястье"
forearm,"предплечье"
elbow,"локоть"
shoulder,"плечо"
leg,"нога (выше ступни)"
foot,"ступня"
knee,"колено"
calf muscle,"икроножная мышца"
hip,"бедро"
heel,"пятка"
body,"тело"
chest,"грудь"
breast,"грудь (женская)"
flank,"бок"
back,"спина"
lower back,"поясница"
waist,"талия"
navel,"пупок"
buttocks,"ягодицы"
bottom,"зад"
beauty mark,"родинка"
tattoo,"татуировка"
scar,"шрам"
