dish,"блюдо"
cuisine,"кухня (национальная)"
recipe,"рецепт (кулинарн.)"
portion,"порция"
salad,"салат"
soup,"суп"
clear soup,"бульон"
sandwich,"бутерброд"
fried eggs,"яичница"
cutlet,"котлета"
hamburger,"гамбургер"
steak,"стейк"
roast meat,"жаркое"
garnish,"гарнир"
spaghetti,"спагетти"
mash,"картофельное пюре"
pizza,"пицца
porridge,"каша"
omelette,"омлет"
boiled,"вареный"
smoked,"копченый"
fried,"жареный (на сковородке)"
dried,"сушеный"
frozen,"замороженный"
pickled,"маринованный"
sweet,"сладкий"
salty,"соленый"
cold,"холодный"
hot,"горячий"
bitter,"горький"
tasty,"вкусный"
to cook,"готовить"
to fry,"жарить"
to heat up,"разогревать"
to salt,"солить"
to pepper,"перчить"
to grate,"тереть (на терке)"
peel,"кожура"
to peel,"чистить (картошку и т.п.)"
salt,"соль"
salty,"соленый"
to salt,"солить"
black pepper,"черный перец"
red pepper,"красный перец"
mustard,"горчица"
horseradish,"хрен"
condiment,"приправа"
spice,"пряность"
sauce,"соус"
vinegar,"уксус"
anise,"анис"
basil,"базилик"
cloves,"гвоздика"
ginger,"имбирь"
coriander,"кориандр"
cinnamon,"корица"
sesame,"кунжут"
bay leaf,"лавровый лист"
paprika,"паприка"
caraway,"тмин"
saffron,"шафран"
