mother,"мать"
father,"отец"
son,"сын"
daughter,"дочь"
younger daughter,"младшая дочь"
younger son,"младший сын"
eldest daughter,"старшая дочь"
eldest son,"старший сын"
brother,"брат"
sister,"сестра"
cousin,"двоюродный брат/сестра"
mom,"мама"
dad,"папа"
parents,"родители"
child,"ребёнок"
children,"дети"
grandmother,"бабушка"
grandfather,"дедушка"
grandson,"внук"
granddaughter,"внучка"
grandchildren,"внуки"
uncle,"дядя"
aunt,"тётя"
nephew,"племянник"
niece,"племянница"
mother-in-law,"тёща"
father-in-law,"свёкор"
son-in-law,"зять"
stepmother,"мачеха"
stepfather,"отчим"
infant,"грудной ребёнок"
baby,"младенец"
little boy,"малыш"
wife,"жена"
husband,"муж"
married,"женатый, замужняя"
single,"холостой (прил.)"
bachelor,"холостяк"
divorced,"разведённый"
widow,"вдова"
widower,"вдовец"
relative,"родственник"
close relative,"близкий родственник"
distant relative,"дальний родственник"
orphan,"сирота"
guardian,"опекун"
to adopt,"усыновить, удочерить"
