marketing,"маркетинг"
market,"рынок"
market segment,"сегмент рынка"
product,"продукт"
goods,"товар"
brand,"торговая марка, бренд"
logo,"логотип"
demand,"спрос"
supply,"предложение"
need,"потребность"
consumer,"потребитель"
analysis,"анализ"
to analyze,"анализировать"
positioning,"позиционирование"
to position,"позиционировать"
price,"цена"
pricing policy,"ценовая политика"
pricing,"ценообразование"
advertising,"реклама"
to advertise,"рекламировать"
budget,"бюджет"
advertisement,"реклама (объявление)"
TV advertising,"телереклама"
radio advertising,"реклама на радио"
outdoor advertising,"наружная реклама"
mass medias,"масс медиа"
periodical,"периодическое издание"
image,"имидж"
slogan,"лозунг"
motto,"девиз"
campaign,"кампания (промоушн~)"
advertising campaign,"рекламная кампания"
target group,"целевая аудитория"
business card,"визитная карточка"
leaflet,"листовка"
brochure,"брошюра"
pamphlet,"буклет"
newsletter,"бюллетень"
shop sign,"вывеска"
poster,"плакат"
hoarding,"рекламный щит"
