meat,"мясо"
chicken,"курица"
young chicken,"цыплёнок"
duck,"утка"
goose,"гусь"
game,"дичь"
turkey,"индейка"
pork,"свинина"
veal,"телятина"
lamb,"баранина"
beef,"говядина"
rabbit,"кролик"
sausage,"колбаса, сосиска"
bacon,"бекон"
ham,"ветчина"
gammon,"окорок"
pate,"паштет"
liver,"печень"
lard,"сало"
mince,"фарш"
tongue,"язык"
egg,"яйцо"
egg white,"белок"
egg yolk,"желток"
fish,"рыба"
seafood,"морепродукты"
crustaceans,"ракообразные"
caviar,"икра"
crab,"краб"
shrimp,"креветка"
oyster,"устрица"
spiny lobster,"лангуст"
octopus,"осьминог"
squid,"кальмар"
sturgeon,"осетрина"
salmon,"лосось"
halibut,"палтус"
cod,"треска"
mackerel,"скумбрия"
tuna,"тунец"
eel,"угорь"
trout,"форель"
sardine,"сардина"
pike,"щука"
herring,"сельдь"
bread,"хлеб"
cheese,"сыр"
sugar,"сахар"
salt,"соль"
rice,"рис"
pasta,"макароны"
noodles,"лапша"
butter,"сливочное масло"
vegetable oil,"масло растительное"
sunflower oil,"подсолнечное масло"
margarine,"маргарин"
olives,"оливки"
olive oil,"масло оливковое"
milk,"молоко"
condensed milk,"сгущённое молоко"
yogurt,"йогурт"
sour cream,"сметана"
cream,"сливки"
mayonnaise,"майонез"
groats,"крупа"
flour,"мука"
tinned food,"консервы"
cornflakes,"кукурузные хлопья"
honey,"мёд"
jam,"джем, конфитюр"
chewing gum,"жевательная резинка"
