restaurant,"ресторан"
coffee bar,"кофейня"
pub,"пивная"
tearoom,"чайный салон"
waiter,"официант"
waitress,"официантка"
barman,"бармен"
menu,"меню"
wine list,"карта вин"
to book a table,"забронировать столик"
dish,"блюдо (кушанье)"
to order,"заказать (блюдо)"
to make an order,"сделать заказ"
aperitif,"аперитив"
starter,"закуска"
dessert,"десерт"
bill,"счёт"
to pay the bill,"оплатить счёт"
to give change,"дать сдачу"
tip,"чаевые"
confectionery,"кондитерские изделия"
bread,"хлеб"
biscuits,"печенье"
chocolate,"шоколад, шоколадный"
sweet,"конфета"
cake,"торт, пирожное"
pie,"пирог"
filling,"начинка"
marmalade,"мармелад"
waffle,"вафли"
ice-cream,"мороженое"
pudding,"пудинг"
