vegetables,"овощи"
greens,"зелень"
tomato,"помидор"
cucumber,"огурец"
carrot,"морковь"
potato,"картофель"
onion,"лук (луковицы)"
garlic,"чеснок"
cabbage,"капуста"
cauliflower,"цветная капуста"
Brussels sprouts,"брюссельская капуста"
broccoli,"капуста брокколи"
beetroot,"свёкла"
aubergine,"баклажан"
marrow,"кабачок"
pumpkin,"тыква"
turnip,"репа"
parsley,"петрушка"
dill,"укроп"
celery,"сельдерей"
asparagus,"спаржа"
spinach,"шпинат"
pea,"горох"
beans,"бобы"
maize,"кукуруза"
kidney bean,"фасоль"
bell pepper,"перец"
radish,"редис"
artichoke,"артишок"
fruit,"фрукт"
apple,"яблоко"
pear,"груша"
lemon,"лимон"
orange,"апельсин"
strawberry,"клубника"
tangerine,"мандарин"
plum,"слива"
peach,"персик"
apricot,"абрикос"
raspberry,"малина"
pineapple,"ананас"
banana,"банан"
watermelon,"арбуз"
grape,"виноград"
sour cherry,"вишня"
sweet cherry,"черешня"
melon,"дыня"
grapefruit,"грейпфрут"
avocado,"авокадо"
papaya,"папайя"
mango,"манго"
pomegranate,"гранат"
redcurrant,"красная смородина"
blackcurrant,"черная смородина"
gooseberry,"крыжовник"
bilberry,"черника"
blackberry,"ежевика"
raisin,"изюм"
fig,"инжир"
date,"финик"
peanut,"арахис"
almond,"миндаль"
walnut,"орех грецкий"
hazelnut,"орех лесной"
coconut,"орех кокосовый"
pistachios,"фисташки"
