to run,"бежать"
to be afraid,"бояться"
to take,"брать"
to be,"быть"
to see,"видеть"
to own,"владеть"
to object,"возражать"
to come in,"входить"
to choose,"выбирать"
to go out,"выходить"
to speak,"говорить (разговаривать)"
to cook,"готовить"
to give,"давать"
to do,"делать"
to trust,"доверять"
to think,"думать"
to complain,"жаловаться"
to wait,"ждать"
to forget,"забывать"
to have breakfast,"завтракать"
to order,"заказывать"
to finish,"заканчивать"
to notice,"замечать (увидеть)"
to write down,"записывать"
to defend,"защищать (страну)"
to call,"звать"
to know,"знать"
to play,"играть"
to go,"идти"
to excuse,"извинять"
to change,"изменить (поменять)"
to study,"изучать"
to have,"иметь"
to be interested in,"интересоваться"
to inform,"информировать"
to look for,"искать"
to control,"контролировать"
to steal,"красть"
to shout,"кричать"
to go for a swim,"купаться"
to fly,"лететь"
to catch,"ловить"
to break,"ломать"
to love,"любить"
to pray,"молиться"
to keep silent,"молчать"
can,"мочь"
to observe,"наблюдать"
to hope,"надеяться"
to punish,"наказывать"
to insist,"настаивать (упорствовать)"
to find,"находить"
to begin,"начинать"
to underestimate,"недооценивать"
to fancy,"воображать"
to have lunch,"обедать"
to promise,"обещать"
to deceive,"обманывать"
to discuss,"обсуждать"
to unite,"объединять"
to explain,"объяснять"
to mean,"означать"
to liberate,"освобождать (город)"
to insult,"оскорблять"
to stop,"останавливаться"
to answer,"отвечать"
to guess right,"отгадать"
to refuse,"отказываться"
to open,"открывать"
to send,"отправлять"
to hunt,"охотиться"
to make a mistake,"ошибаться"
to fall,"падать"
to translate,"переводить (текст)"
to write,"писать"
to swim,"плавать"
to cry,"плакать"
to plan,"планировать"
to pay,"платить"
to turn,"поворачивать"
to repeat,"повторять"
to sign,"подписывать"
to give a hint,"подсказать (отгадку)"
to show,"показывать"
to help,"помогать"
to understand,"понимать"
to expect,"предвидеть (ожидать)"
to propose,"предлагать"
to prefer,"предпочитать"
to warn,"предупреждать"
to stop,"прекращать"
to invite,"приглашать"
to arrive,"приезжать"
to order,"приказывать"
to belong to,"принадлежать"
to try,"пробовать (пытаться)"
to sell,"продавать"
to continue,"продолжать"
to pronounce,"произносить (слово)"
to miss,"скучать, пропускать (занятие и т.п.)"
to ask,"просить, спрашивать"
to forgive,"прощать"
to hide,"прятать"
to confuse,"смущать"
to mix up,"путать"
to work,"работать"
to permit,"разрешать"
to count on,"рассчитывать на"
to reserve,"резервировать (удерживать за собой)"
to book,"бронировать (оплачено)"
to recommend,"рекомендовать"
to drop,"ронять"
to scold,"ругать"
to manage,"руководить (чем-либо)"
to dig,"рыть"
to sit down,"садиться"
to say,"сказать"
to follow,"следовать за"
to hear,"слышать"
to laugh,"смеяться"
to rent,"снимать (напр. квартиру)"
to advise,"советовать"
to agree,"соглашаться"
to regret,"сожалеть"
to create,"создать"
to doubt,"сомневаться"
to keep,"хранить, держать"
to save,"сохранять, экономить"
to rescue,"спасать, выручать"
to come down,"спускаться"
to compare,"сравнивать"
to cost,"стоить"
to shoot,"стрелять"
to exist,"существовать"
to count,"считать (подсчитывать)"
to hurry,"торопиться"
to demand,"требовать"
to be needed,"требоваться"
to touch,"трогать"
to kill,"убивать"
to threaten,"угрожать"
to be surprised,"удивляться"
to have dinner,"ужинать"
to decorate,"украшать"
to smile,"улыбаться"
to mention,"упоминать"
to participate,"участвовать"
to boast,"хвастаться"
to want,"хотеть"
to be hungry,"хотеть есть"
to be thirsty,"хотеть пить"
to read,"читать"
to joke,"шутить"
