Where?,"Где? Куда?"
here,"здесь, сюда"
there,"там, туда"
somewhere,"где-то"
nowhere,"нигде"
by,"у (около)"
by the window,"у окна"
from here,"отсюда"
from there,"оттуда"
close,"близко"
far,"далеко"
not far,"недалеко (ехать, идти)"
left,"левый"
on the left,"слева"
to the left,"налево"
right,"правый"
on the right,"справа"
to the right,"направо"
in front,"спереди"
front,"передний"
ahead,"вперед (движение)"
behind,"сзади (находиться)"
from behind,"сзади (подойти)"
back,"назад (движение), обратно)"
middle,"середина"
in the middle,"посередине"
at the side,"сбоку (со стороны)"
everywhere,"везде"
around,"вокруг"
from inside,"изнутри"
somewhere,"куда-то"
straight,"напрямик"
from anywhere,"откуда-нибудь"
from somewhere,"откуда-то"
firstly,"во-первых"
secondly,"во-вторых"
