thirdly,"в-третьих"
suddenly,"вдруг"
at first,"вначале"
for the first time,"впервые"
long before,"задолго до"
for good,"насовсем"
never,"никогда"
again,"опять"
now,"теперь, сейчас"
often,"часто"
then,"тогда"
urgently,"срочно"
usually,"обычно"
by the way,"кстати"
possible,"возможно"
probably,"вероятно"
maybe,"может быть"
besides,"кроме того"
that's why,"поэтому"
in spite of,"несмотря на"
thanks to,"благодаря"
what,"что (местоимение)"
that,"что (союз)"
something,"что-то"
anything,"что-нибудь"
nothing,"ничего"
who,"кто"
someone,"кто-то"
somebody,"кто-нибудь"
nobody,"никто"
nobody's,"ничей"
somebody's,"чей-нибудь"
so,"так"
also,"также"
too,"тоже"
