advertising,"реклама"
to advertise,"рекламировать"
budget,"бюджет"
advertisement,"реклама (объявление)"
TV advertising,"телереклама"
radio advertising,"реклама на радио"
outdoor advertising,"наружная реклама"
mass medias,"масс медиа"
periodical,"периодическое издание"
image,"имидж"
slogan,"лозунг"
motto,"девиз"
campaign,"кампания (промоушн~)"
advertising campaign,"рекламная кампания"
target group,"целевая аудитория"
business card,"визитная карточка"
leaflet,"листовка"
brochure,"брошюра"
pamphlet,"буклет"
newsletter,"бюллетень"
shop sign,"вывеска"
poster,"плакат"
hoarding,"рекламный щит"
