airport,"аэропорт"
aircraft,"самолёт"
airline,"авиакомпания"
air-traffic controller,"диспетчер"
departure,"вылет"
arrival,"прилёт"
to arrive,"прилететь"
departure time,"время вылета"
arrival time,"время прилёта"
to be delayed,"задерживаться (о рейсе)"
flight delay,"задержка вылета"
information board,"информационное табло"
information,"информация"
to announce,"объявлять"
flight,"рейс"
customs,"таможня"
customs officer,"таможенник"
customs declaration,"таможенная декларация"
to fill in,"заполнить (декларацию)"
passport control,"паспортный контроль"
luggage,"багаж"
hand luggage,"ручная кладь"
LOST PROPERTY,"розыск багажа"
luggage trolley,"тележка для багажа"
landing,"посадка"
runway,"посадочная полоса"
to land,"садиться (о самолёте)"
ladder to the plane,"трап к самолёту"
check-in,"регистрация"
check-in desk,"стойка регистрации"
to check-in,"зарегистрироваться"
boarding pass,"посадочный талон"
departure gate,"выход на посадку"
transit,"транзит"
to wait,"ждать"
departure lounge,"зал ожидания"
