subtraction,”вычитание”
to subtract,”вычитать”
division,”деление”
to divide,”делить”
addition,”сложение”
to add up,”сложить (матем.)”
to add,”прибавлять”
multiplication,”умножение”
to multiply,”умножать”
figure,”цифра”
number,”число”
numeral,”числительное”
minus,”минус”
plus,”плюс”
formula,”формула”
calculation,”вычисление”
to count,”считать”
to compare,”сравнивать”
How much?,”Сколько? (неисчисл.)”
How many?,”Сколько? (исчисл.)”
sum,”сумма”
total,”всего”
result,”результат”
remainder,”остаток”
a few,”несколько”
few,”немного”
the rest,”остальное”
one and a half,”полтора”
dozen,”дюжина”
in half,”пополам”
equally,”поровну”
half,”половина”
time,”раз”
