TV,"телевизор"
tape recorder,"магнитофон"
video,"видеомагнитофон"
radio,"приёмник"
player,"плеер"
video projector,"видеопроектор"
amplifier,"усилитель"
video game console,"игровая приставка"
video camera,"видеокамера"
camera,"фотоаппарат"
digital camera,"цифровой фотоаппарат"
vacuum cleaner,"пылесос"
iron,"утюг"
ironing board,"гладильная доска"
telephone,"телефон"
mobile phone,"мобильный телефон"
typewriter,"машинка (пишущая)"
sewing machine,"машинка (швейная)"
microphone,"микрофон"
headphones,"нушники"
remote control,"пульт"
cassette,"кассета"
vinyl record,"пластинка (муз.)"
