art,"искусство"
art gallery,"арт-галерея"
art exhibition,"выставка картин"
painting,"живопись"
graphic art,"графика"
abstract art,"абстракционизм"
impressionism,"импрессионизм"
picture,"картина"
drawing,"рисунок"
poster,"плакат"
illustration,"иллюстрация"
miniature,"миниатюра"
copy,"копия"
reproduction,"репродукция"
mosaic,"мозаика"
stained glass,"витраж"
fresco,"фреска"
engraving,"гравюра"
bust,"бюст"
sculpture,"скульптура"
statue,"статуя"
plaster of Paris,"гипс"
plaster,"из гипса"
portrait,"портрет"
self-portrait,"автопортрет"
landscape,"пейзаж (картина)"
still life,"натюрморт"
caricature,"карикатура"
paint,"краска"
watercolor,"акварель"
oil,"масло"
pencil,"карандаш"
Indian ink,"тушь"
charcoal,"уголь"
to draw,"рисовать (карандашом)"
to paint,"рисовать (красками)"
to pose,"позировать"
artist's model,"натурщик, натурщица"
artist,"художник"
work of art,"произведение искусства"
masterpiece,"шедевр"
workshop,"мастерская"
canvas,"холст"
easel,"мольберт"
palette,"палитра"
frame,"рама (картины)"
restoration,"реставрация"
to restore,"реставрировать"
