Asia,"Азия"
Asian,"азиатский"
Vietnam,"Вьетнам"
Vietnamese,"вьетнамец, вьетнамка, вьетнамский"
India,"Индия"
Indian,"индиец, индианка, индийский"
Israel,"Израиль"
Israeli,"израильтянин, израильтянка, израильский"
Jew,"еврей"
Jewess,"еврейка"
Jewish,"еврейский"
China,"Китай"
Chinese,"китаец, китаянка, китайский"
South Korea,"Южная Корея"
North Korea,"Северная Корея"
Korean,"кореец, кореянка, корейский"
Lebanon,"Ливан"
Lebanese,"ливанец, ливанка, ливанский"
Mongolia,"Монголия"
Mongolian,"монгол, монголка, монгольский"
Malaysia,"Малайзия"
Malaysian,"малаец, малайка, малайский"
Pakistan,"Пакистан"
Pakistani,"пакистанец, пакистанка, пакистанский"
Saudi Arabia,"Саудовская Аравия"
Arab,"араб, арабка"
Arabian,"арабский"
Thailand,"Таиланд"
Thai,"таец, тайка, тайский"
Taiwan,"Тайвань"
Taiwanese,"тайванец, тайванка, тайваньский"
Turkey,"Турция"
Turk,"турок, турчанка"
Turkish,"турецкий"
Japan,"Япония"
Japanese,"японец, японка, японский"
Afghanistan,"Афганистан"
Bangladesh,"Бангладеш"
Indonesia,"Индонезия"
Jordan,"Иордания"
Iraq,"Ирак"
Iran,"Иран"
Cambodia,"Камбоджа"
Kuwait,"Кувейт"
Laos,"Лаос"
Myanmar,"Мьянма"
Nepal,"Непал"
United Arab Emirates,"Объединённые Арабские Эмираты"
Syria,"Сирия"
Palestine,"Палестина"
