bank,"банк"
branch,"отделение"
consultant,"консультант"
manager,"управляющий"
bank account,"счёт (в банке)"
account number,"номер счёта"
current account,"текущий счёт"
deposit account,"накопительный счёт"
to open an account,"открыть счёт"
to close the account,"закрыть счёт"
deposit,"вклад"
to make a deposit,"сделать вклад"
wire transfer,"перевод"
sum,"сумма"
How much?,"Сколько? (о деньгах)"
signature,"подпись"
to sign,"подписать"
credit card,"кредитная карта"
code,"код"
credit card number,"номер кредитной карты"
cashpoint,"банкомат"
cheque,"чек"
to write a cheque,"выписать чек"
checkbook,"чековая книжка"
loan,"кредит"
to apply for a loan,"обращаться за кредитом"
to get a loan,"брать кредит"
to give a loan,"предоставлять кредит"
guarantee,"гарантия (залог)"
