beach,"пляж"
sand,"песок"
deserted,"пустынный (пляж)"
suntan,"загар"
to get a tan,"загорать"
tanned,"загорелый"
sunscreen,"крем для загара"
bikini,"бикини"
swimsuit,"купальник"
swim trunks,"плавки"
swimming pool,"бассейн"
to swim,"плавать"
shower,"душ"
to change,"переодеваться"
towel,"полотенце"
boat,"лодка"
motorboat,"катер"
water ski,"водные лыжи"
water bicycle,"водный велосипед"
surfing,"серфинг"
surfer,"серфингист"
scuba set,"акваланг"
flippers,"ласты"
mask,"маска"
diver,"ныряльщик, дайвер"
to dive,"нырять, погружаться"
underwater,"под водой"
beach umbrella,"пляжный зонт"
beach chair,"шезлонг"
sunglasses,"солнцезащитные очки"
air mattress,"плавательный матрас"
to play,"играть"
to go for a swim,"купаться"
beach ball,"пляжный мяч"
to inflate,"надувать"
inflatable,"надувной"
wave,"волна"
buoy,"буй"
to drown,"тонуть"
to save,"спасать"
lifejacket,"спасательный жилет"
to observe,"наблюдать"
