hand,"кисть"
arm,"рука (вся)"
finger,"палец"
thumb,"большой палец"
little finger,"мизинец"
nail,"ноготь"
fist,"кулак"
palm,"ладонь"
wrist,"запястье"
forearm,"предплечье"
elbow,"локоть"
shoulder,"плечо"
leg,"нога (выше ступни)"
foot,"ступня"
knee,"колено"
calf muscle,"икроножная мышца"
hip,"бедро"
heel,"пятка"
body,"тело"
chest,"грудь"
breast,"грудь (женская)"
flank,"бок"
back,"спина"
lower back,"поясница"
waist,"талия"
navel,"пупок"
buttocks,"ягодицы"
bottom,"зад"
beauty mark,"родинка"
tattoo,"татуировка"
scar,"шрам"
