introduction,"введение"
title page,"титульный лист"
chapter,"глава (книги)"
extract,"отрывок"
episode,"эпизод"
storyline,"сюжет"
contents,"содержание (список)"
main character,"главный герой"
volume,"том (книги)"
cover,"обложка (книги)"
bookmark,"закладка"
page,"страница"
to flick through,"листать"
margins,"поля (на странице)"
annotation,"пометка (в книге)"
footnote,"примечание"
text,"текст"
type,"шрифт"
misprint,"опечатка"
translation,"перевод"
to translate,"переводить"
original,"подлинник, оригинал"
famous,"знаменитый"
unknown,"неизвестный"
interesting,"интересный"
bestseller,"бестселлер"
dictionary,"словарь"
textbook,"учебник"
encyclopedia,"энциклопедия"
