airline,"авиакомпания"
antiques,"антиквариат"
chemist,"аптека"
tailors,"ателье"
audit services,"аудиторские услуги"
banks,"банковский бизнес"
pub,"бар"
swimming pool,"бассейн"
business centre,"бизнес-центр"
business school,"бизнес-школа"
stock exchange,"биржа"
accounting services,"бухгалтерские услуги"
veterinary surgeon,"ветеринар"
waste collection,"вывоз мусора"
newspaper,"газета"
art gallery,"арт-галерея"
hotel,"гостиница"
design,"дизайн"
magazine,"журнал"
publishing house,"издательство"
investment,"инвестиции"
Internet,"интернет"
news agency,"информационное агентство"
employment agency,"кадровое агентство"
casino,"казино"
cinema,"кинотеатр"
bookshop,"книжный магазин"
air-conditioners,"кондиционеры"
consulting,"консалтинг"
parcels service,"курьерская служба"
light industry,"лёгкая промышленность"
shop,"магазин"
furniture,"мебель"
medicine,"медицина"
ice-cream,"мороженое"
