museum,"музей"
real estate,"недвижимость"
oil,"нефть"
nightclub,"ночной клуб"
security agency,"охранное агентство"
transport companies,"перевозки"
brewery,"пивоварня"
printing,"полиграфия"
undertakers,"похоронное бюро"
laundry,"прачечная"
food products,"продукты питания"
industry,"промышленность"
radio,"радио"
advertising,"реклама"
advertising agency,"рекламное агентство"
restaurant,"ресторан"
beauty salon,"салон красоты"
warehouse,"склад"
alcoholic drinks,"спиртные напитки"
sport,"спорт"
dentistry,"стоматология"
insurance,"страхование"
construction,"строительство"
supermarket,"супермаркет"
theatre,"театр"
television,"телевидение"
trade,"торговля"
mail-order selling,"торговля по каталогу"
travel,"туризм"
pharmaceuticals,"фармацевтика"
financial services,"финансовые услуги"
dry cleaners,"химчистка"
jeweler,"ювелир"
jewelry,"ювелирные изделия"
legal adviser,"юридические услуги"
