business,"дело, бизнес"
firm,"фирма"
company,"компания"
corporation,"корпорация"
enterprise,"предприятие"
agency,"агентство"
agreement,"договор"
contract,"контракт"
deal,"сделка"
order,"заказ"
term,"условие (договора)"
wholesale,"оптом, оптовый"
retail,"розничный, продажа в розницу"
competitor,"конкурент, конкуренция"
to compete,"конкурировать"
partner,"партнёр"
partnership,"партнерство"
co-founder,"соучредитель"
crisis,"кризис"
bankruptcy,"банкротство"
to go bankrupt,"обанкротиться"
difficulty,"трудность"
problem,"проблема"
economy,"экономика"
economic,"экономический"
economic recession,"экономический спад"
goal,"цель"
task,"задача"
to trade,"торговать"
network,"сеть (дистрибьюторов)"
inventory,"склад (товары)"
assortment,"ассортимент"
leader,"лидер"
monopoly,"монополия"
theory,"теория"
practice,"практика"
experience,"опыт (знания)"
trend,"тенденция"
development,"развитие"
