profitability,"выгода"
profitable,"выгодный"
delegation,"делегация"
salary,"заработная плата"
to correct,"исправлять (ошибку)"
business trip,"командировка"
commission,"комиссия"
to control,"контролировать"
conference,"конференция"
license,"лицензия"
reliable,"надёжный (партнёр)"
initiative,"начинание"
norm,"норма (стандарт)"
circumstance,"обстоятельство"
duty,"обязанность"
enterprise,"организация (предприятие)"
organization,"организация (процесс)"
organized,"организованный"
cancellation,"отмена"
to cancel,"отменить"
report,"отчёт"
patent,"патент"
to patent,"патентовать"
to plan,"планировать"
bonus,"премия"
professional,"профессиональный"
procedure,"процедура"
to examine,"рассмотреть (вопрос и т.п.)"
calculation,"расчёт (прибыли и т.п.)"
reputation,"репутация"
risk,"риск"
to manage,"руководить, управлять"
information,"сведения"
property,"собственность"
union,"союз (группа фирм)"
life insurance,"страхование жизни"
to insure,"страховать"
insurance,"страховка"
auction,"торги (аукцион)"
to notify,"уведомить"
management,"управление (процесс)"
service,"услуга"
forum,"форум"
to function,"функционировать"
stage,"этап (работы и т.п.)"
legal,"юридический"
lawyer,"юрист"
