bonnet,"капот"
wing,"крыло"
roof,"крыша"
windscreen,"ветровое стекло"
rear-view mirror,"зеркало заднего вида"
windscreen washer,"омыватель"
windscreen wipers,"щётки стеклоочистителя"
side window,"боковое стекло"
window lift,"стеклоподъёмник"
aerial,"антенна"
sun roof,"люк"
bumper,"бампер"
boot,"багажник"
roof luggage rack,"багажник (на крыше)"
door,"дверь"
door handle,"ручка двери"
door lock,"дверной замок"
number plate,"номер авто"
silencer,"глушитель"
petrol tank,"бензобак"
exhaust pipe,"выхлопная труба"
accelerator,"газ"
pedal,"педаль"
accelerator pedal,"педаль газа"
brake,"тормоз"
brake pedal,"педаль тормоза"
