to slow down,"тормозить"
handbrake,"ручной тормоз"
clutch,"сцепление"
clutch pedal,"педаль сцепления"
clutch plate,"диск сцепления"
shock absorber,"амортизатор"
wheel,"колесо"
spare tyre,"запасное колесо"
tire,"покрышка, шина"
wheel cover,"колпак (на колесе)"
driving wheels,"ведущие колёса"
front-wheel drive,"переднеприводный"
rear-wheel drive,"заднеприводный"
all-wheel drive,"полноприводный"
gearbox,"коробка передач"
automatic,"автоматический"
mechanical,"механический"
gear lever,"рычаг коробки передач"
headlight,"фара"
dipped headlights,"ближний свет"
full headlights,"дальний свет"
brake light,"стоп-сигнал (фары)"
sidelights,"габаритные огни"
hazard lights,"аварийные огни"
fog lights,"противотуманные фары"
turn indicator,"указатель поворота"
reversing light,"фонарь заднего хода"
