honest,"честный"
honesty,"честность"
careful,"осторожный"
courageous,"отважный"
serious,"серьёзный"
strict,"строгий"
decisive,"решительный"
indecisive,"нерешительный"
timid,"робкий"
timidity,"робость"
confidence,"доверие"
to believe,"верить (доверять)"
trusting,"доверчивый"
sincerely,"искренне"
sincere,"искренний"
sincerity,"искренность"
calm,"тихий (спокойный)"
frank,"откровенный"
naive,"наивный"
absent-minded,"рассеянный"
funny,"смешной (забавный)"
greed,"жадность (скупость)"
greedy,"жадный (скупой)"
evil,"злой"
stubborn,"упрямый"
unpleasant,"неприятный"
selfish person,"эгоист"
selfish,"эгоистичный"
coward,"трус"
cowardly,"трусливый"
