child,"ребёнок"
children,"дети"
twins,"близнецы"
cradle,"люлька, колыбель"
rattle,"погремушка"
nappy,"подгузник"
dummy,"соска"
pram,"коляска (детская)"
nursery,"детский сад"
babysitter,"няня"
childhood,"детство"
doll,"кукла"
toy,"игрушка"
construction set,"конструктор (игра)"
well-bred,"воспитанный"
ill-bred,"невоспитанный"
spoilt,"избалованный"
to be naughty,"шалить"
mischievous,"шаловливый"
mischievousness,"шалость (поведение)"
mischievous child,"шалун"
obedient,"послушный"
disobedient,"непослушный"
docile,"умный (послушный)"
clever,"умный (одаренный)"
child prodigy,"вундеркинд"
