Adam,"Адам"
Eve,"Ева"
God,"Бог"
the Lord,"Господь"
the Almighty,"Всемогущий"
sin,"грех"
to sin,"грешить"
sinner,"грешник, грешница"
hell,"ад"
paradise,"рай"
Jesus,"Иисус"
Jesus Christ,"Иисус Христос"
the Holy Spirit,"Святой Дух"
the Savior,"Спаситель"
the Virgin Mary,"Богородица"
the Devil,"Дьявол"
devil's,"дьявольский"
Satan,"Сатана"
satanic,"сатанинский"
angel,"ангел"
guardian angel,"ангел-хранитель"
angelic,"ангельский"
apostle,"апостол"
archangel,"архангел"
the Antichrist,"антихрист"
the Church,"Церковь"
Bible,"библия"
biblical,"библейский"
Old Testament,"Ветхий Завет"
New Testament,"Новый Завет"
Gospel,"Евангелие"
Holy Scripture,"Священное Писание"
heaven,"Небо, Царство Небесное"
Commandment,"заповедь"
prophet,"пророк"
prophecy,"пророчество"
Allah,"Аллах"
Mohammed,"Мухаммед"
the Koran,"Коран"
mosque,"мечеть"
mullah,"мулла"
prayer,"молитва"
to pray,"молиться"
