pilgrimage,"паломничество"
pilgrim,"паломник"
Mecca,"Мекка"
temple,"храм"
cathedral,"собор"
Gothic,"готический"
synagogue,"синагога"
mosque,"мечеть"
chapel,"часовня"
abbey,"аббатство"
convent,"монастырь (женский)"
monastery,"монастырь (мужской)"
bell,"колокол"
bell tower,"колокольня"
to ring,"звонить (о колоколах)"
cross,"крест"
cupola,"купол"
icon,"икона"
soul,"душа"
fate,"судьба"
evil,"зло"
good,"добро"
vampire,"вампир"
witch,"ведьма"
demon,"демон"
devil,"чёрт"
spirit,"дух"
redemption,"искупление"
to redeem,"искупить"
church service,"служба (рел.)"
to say mass,"служить (рел.)"
confession,"исповедь"
to confess,"исповедоваться"
saint,"святой"
sacred,"священный"
holy water,"святая вода"
ritual,"ритуал, ритуальный"
sacrifice,"жертвоприношение"
superstition,"суеверие"
superstitious,"суеверный"
afterlife,"загробная жизнь"
eternal life,"вечная жизнь"
