circus,"цирк"
big top,"цирк-шапито"
program,"программа"
performance,"представление"
circus ring,"цирковая арена"
pantomime,"пантомима"
clown,"клоун"
acrobat,"акробат"
acrobatics,"акробатика"
gymnast,"гимнаст"
gymnastics,"гимнастика"
somersault,"сальто"
strongman,"атлет (силач)"
animal-tamer,"укротитель"
equestrian,"наездник"
assistant,"ассистент"
stunt,"трюк"
conjuring trick,"фокус"
magician,"фокусник"
juggler,"жонглёр"
to juggle,"жонглировать"
animal trainer,"дрессировщик"
animal training,"дрессировка"
to train,"дрессировать"
