shop,"магазин"
chemist,"аптека"
optician,"оптика"
shopping centre,"торговый центр"
supermarket,"супермаркет"
bakery,"булочная"
baker,"пекарь"
cake shop,"кондитерская"
grocery shop,"бакалея"
butcher shop,"мясная лавка"
greengrocer,"овощная лавка"
market,"рынок"
coffee bar,"кофейня"
restaurant,"ресторан"
bar,"бар"
pizzeria,"пиццерия"
hairdresser,"парикмахерская"
post office,"почта"
dry cleaners,"химчистка"
photo studio,"фотоателье"
shoe shop,"обувной магазин"
bookshop,"книжный магазин"
sports shop,"спортивный магазин"
clothing repair,"ремонт одежды"
formal wear hire,"прокат одежды"
circus,"цирк"
zoo,"зоопарк"
