cinema,"кинотеатр"
museum,"музей"
library,"библиотека"
theatre,"театр"
opera,"опера"
nightclub,"ночной клуб"
casino,"казино"
mosque,"мечеть"
synagogue,"синагога"
cathedral,"собор"
temple,"храм"
church,"церковь"
institute,"институт"
university,"университет"
school,"школа"
prefecture,"префектура"
city hall,"мэрия"
hotel,"гостиница"
bank,"банк"
embassy,"посольство"
travel agency,"турагентство"
information office,"справочное бюро"
money exchange,"обменный пункт"
underground,"метро"
hospital,"больница"
petrol station,"бензозаправка"
car park,"автостоянка"
