bus,"автобус"
tram,"трамвай"
trolleybus,"троллейбус"
route,"маршрут"
number,"номер (напр. автобуса)"
to go by,"ехать на"
to get on,"сесть (в автобус и т.п.)"
to get off,"сойти (с автобуса и т.п.)"
stop,"остановка (автобуса)"
next stop,"следующая остановка"
terminus,"конечная остановка"
timetable,"расписание"
to wait,"ждать"
ticket,"билет"
fare,"стоимость билета"
cashier,"кассир"
ticket inspection,"контроль (в транспорте)"
inspector,"контролёр"
to be late,"опаздывать"
to be in a hurry,"спешить, торопиться"
taxi,"такси"
taxi driver,"таксист"
by taxi,"на такси"
taxi rank,"стоянка такси"
to call a taxi,"вызвать такси"
to take a taxi,"взять такси"
traffic,"уличное движение"
traffic jam,"пробка (на дороге)"
rush hour,"час пик"
to park,"парковаться"
car park,"стоянка авто"
underground,"метро"
station,"станция"
to take the tube,"ехать на метро"
train,"поезд"
train station,"ж/д вокзал"
