color,"цвет"
shade,"оттенок"
hue,"тон"
rainbow,"радуга"
white,"белый"
black,"черный"
grey,"серый"
green,"зеленый"
yellow,"желтый"
red,"красный"
blue,"синий"
light blue,"голубой"
pink,"розовый"
orange,"оранжевый"
violet,"фиолетовый"
brown,"коричневый"
golden,"золотой"
silvery,"серебристый"
beige,"бежевый"
cream,"кремовый"
turquoise,"бирюзовый"
cherry red,"вишневый"
lilac,"лиловый"
crimson,"малиновый"
light,"светлый"
dark,"темный"
bright,"яркий"
colored pencil,"цветной карандаш"
color film,"цветной фильм"
black-and-white,"черно-белый"
plain,"одноцветный"
multicolored,"разноцветный"
