computer,"компьютер"
laptop,"ноутбук"
to switch on,"включить"
to turn off,"выключить"
keyboard,"клавиатура"
key,"клавиша"
mouse,"компьютерная мышь"
mousepad,"коврик для мыши"
button,"кнопка"
cursor,"курсор"
monitor,"монитор"
screen,"экран"
hard disk,"жёсткий диск"
hard disk volume,"объём жёсткого диска"
memory,"память"
random access memory,"оперативная память"
file,"файл"
folder,"папка (комп.)"
to open,"открыть"
to close,"закрыть"
to save,"сохранить"
to delete,"удалить"
to copy,"скопировать"
to sort,"сортировать"
program,"программа"
software,"программное обеспечение"
programmer,"программист"
to program,"программировать"
hacker,"хакер"
password,"пароль"
virus,"вирус"
to find,"обнаружить"
byte,"байт"
megabyte,"мегабайт"
data,"данные"
database,"база данных"
cable,"кабель"
to disconnect,"отсоединить"
to connect,"подсоединить"
