car accident,"авария"
road accident,"дорожное происшествие"
to run into,"врезаться (о машине)"
to have an accident,"разбиться (об аварии)"
damage,"повреждение"
intact,"целый (невредимый)"
breakdown,"авария, поломка"
to break down,"сломаться"
tow-rope,"буксировочный трос"
puncture,"прокол (колеса)"
to have a puncture,"спустить (о колесе)"
to pump up,"накачивать (шину)"
pressure,"давление"
to check,"проверить"
repair,"ремонт"
auto repair shop,"автосервис"
spare part,"запчасти"
part,"деталь"
bolt,"болт"
screw bolt,"винт"
nut,"гайка"
washer,"шайба"
bearing,"подшипник"
tube,"трубка"
gasket,"прокладка"
cable,"провод"
jack,"домкрат"
spanner,"гаечный ключ"
hammer,"молоток"
pump,"насос"
screwdriver,"отвёртка"
fire extinguisher,"огнетушитель"
warning triangle,"аварийный треугольник"
to stall,"глохнуть (о моторе)"
stalling,"остановка (мотора)"
to be broken,"быть сломанным"
to overheat,"перегреться"
to be clogged up,"засориться"
to freeze up,"замёрзнуть"
to burst,"лопнуть"
pressure,"давление"
level,"уровень (напр. масла)"
slack,"слабый (о ремне и т.п.)"
dent,"вмятина"
abnormal noise,"стук, шум"
crack,"трещина"
scratch,"царапина"
