smuggling,"контрабанда (действия)"
smuggler,"контрабандист"
forgery,"подделка"
to forge,"подделывать"
fake,"фальшивый"
rape,"изнасилование"
to rape,"изнасиловать"
rapist,"насильник"
maniac,"маньяк"
prostitute,"проститутка"
prostitution,"проституция"
pimp,"сутенёр"
drug addict,"наркоман"
drug dealer,"торговец наркотиками"
to blow up,"взорвать"
explosion,"взрыв"
to set fire,"поджечь"
arsonist,"поджигатель"
terrorism,"терроризм"
terrorist,"террорист"
hostage,"заложник"
to swindle,"обмануть"
swindle,"обман"
swindler,"мошенник"
to bribe,"подкупить"
bribery,"подкуп"
bribe,"взятка"
poison,"яд"
to poison,"отравить"
to poison oneself,"отравиться (убить себя)"
suicide,"самоубийца, самоубийство"
to threaten,"угрожать"
threat,"угроза"
to make an attempt,"покушаться"
attempt,"покушение (на жизнь)"
to steal,"угнать (автомобиль)"
to hijack,"угнать (самолёт)"
revenge,"месть"
to avenge,"мстить"
to torture,"пытать"
torture,"пытка"
to abuse,"мучить"
pirate,"пират"
hooligan,"хулиган"
armed,"вооружённый"
violence,"насилие"
illegal,"нелегальный"
spying,"шпионаж"
to spy,"шпионить"
