Monday,"понедельник"
Tuesday,"вторник"
Wednesday,"среда"
Thursday,"четверг"
Friday,"пятница"
Saturday,"суббота"
Sunday,"воскресенье"
today,"сегодня"
tomorrow,"завтра"
the day after tomorrow,"послезавтра"
yesterday,"вчера"
the day before yesterday,"позавчера"
day,"день"
working day,"рабочий день"
public holiday,"праздничный день"
day off,"выходной день"
weekend,"выходные"
all day long,"весь день"
next day,"на следующий день"
two days ago,"2 дня назад"
the day before,"накануне"
daily,"ежедневно"
every day,"ежедневно"
week,"неделя"
last week,"на прошлой неделе"
next week,"на следующей неделе"
weekly,"еженедельный"
every week,"еженедельно"
twice a week,"2 раза в неделю"
every Tuesday,"каждый вторник"
