illness,"болезнь"
to be ill,"болеть (быть больным)"
health,"здоровье"
runny nose,"насморк"
tonsillitis,"тонзиллит"
cold,"простуда"
to catch a cold,"простыть"
bronchitis,"бронхит"
pneumonia,"воспаление лёгких"
flu,"грипп"
short-sighted,"бдизорукий"
long-sighted,"дальнозоркий"
squint,"косоглазие"
squint-eyed,"косоглазый"
cataract,"катаракта"
glaucoma,"глаукома"
stroke,"инсульт"
heart attack,"инфаркт"
myocardial infarction,"инфаркт миокарда"
paralysis,"паралич"
to paralyze,"парализовать"
allergy,"аллергия"
asthma,"астма"
diabetes,"диабет"
toothache,"зубная боль"
caries,"кариес"
diarrhea,"диарея"
constipation,"запор"
stomach upset,"расстройство желудка"
food poisoning,"отравление (пищевое)"
arthritis,"артрит"
rickets,"рахит"
