rheumatism,"ревматизм"
atherosclerosis,"атеросклероз"
gastritis,"гастрит"
appendicitis,"аппендицит"
cholecystitis,"холецистит"
ulcer,"язва (внутренняя)"
measles,"корь"
German measles,"краснуха"
jaundice,"желтуха"
hepatitis,"гепатит"
schizophrenia,"шизофрения"
rabies,"бешенство"
neurosis,"невроз"
concussion,"сотрясение мозга"
cancer,"рак"
sclerosis,"склероз"
multiple sclerosis,"рассеянный склероз"
alcoholism,"алкоголизм"
alcoholic,"алкоголик"
syphilis,"сифилис"
AIDS,"СПИД"
tumor,"опухоль (внутренняя)"
fever,"лихорадка"
malaria,"малярия"
gangrene,"гангрена"
seasickness,"морская болезнь"
epilepsy,"эпилепсия"
epidemic,"эпидемия"
typhus,"тиф"
tuberculosis,"туберкулёз"
cholera,"холера"
plague,"чума"
