form,"анкета"
ticket,"билет"
letterhead,"бланк (фирменный)"
badge,"бейдж"
newsletter,"бюллетень"
business card,"визитная карточка"
driver license,"водительские права"
customs declaration,"таможенная декларация"
contract,"договор"
document,"документ"
will,"завещание (документ)"
law,"закон"
note,"записка"
to fill in,"заполнить (анкету)"
inquiry,"запрос"
to cross out,"зачеркнуть"
application form,"заявка"
receipt,"квитанция"
constitution,"конституция"
copy,"копия"
waybill,"накладная"
report,"отчёт"
passport,"паспорт"
stamp,"печать (на документе)"
letter,"письмо"
authentic,"подлинный (документ)"
to sign,"подписать"
signature,"подпись"
to show,"предъявлять"
invitation card,"пригласительный билет"
addendum,"приложение (к договору)"
pass,"пропуск (документ)"
permit,"разрешение (документ)"
debt note,"расписка (долговая)"
resume,"резюме"
manuscript,"рукопись"
certificate,"сертификат"
agreement,"соглашение"
list,"список"
invoice,"счёт (в бизнесе)"
bill,"счёт (в ресторане)"
text,"текст"
identity card,"удостоверение"
cheque,"чек (банковский)"
till receipt,"чек (кассовый)"
