door,"дверь"
vehicle gate,"ворота"
handle,"ручка (дверна)"
to unlock,"отпереть"
to open,"открывать"
to close,"закрывать"
key,"ключ"
bunch,"связка (ключей)"
to creak,"скрипеть"
creak,"скрип"
hinge,"петля (дверная)"
doormat,"половик"
lock,"замок (дверной)"
keyhole,"замочная скважина"
bolt,"засов"
latch,"задвижка"
padlock,"навесной замок"
to ring,"звонить"
ringing,"звонок (звук)"
doorbell,"звонок (прибор)"
button,"кнопка (звонка)"
knock,"стук (в дверь)"
to knock,"стучать"
code,"код"
code lock,"кодовый замок"
door phone,"домофон"
number,"номер"
doorplate,"табличка"
peephole,"глазок"
