water,"вода"
drinking water,"питьевая вода"
mineral water,"минеральная вода"
still,"без газа"
carbonated,"газированный"
sparkling,"с газом"
ice,"лёд"
with ice,"со льдом"
non-alcoholic,"безалкогольный"
soft drink,"безалкогольный напиток"
cool soft drink,"прохладительный напиток"
lemonade,"лимонад"
spirits,"алкогольные напитки"
wine,"вино"
white wine,"белое вино"
red wine,"красное вино"
liqueur,"ликёр"
champagne,"шампанское"
vermouth,"вермут"
whisky,"виски"
vodka,"водка"
gin,"джин"
cognac,"коньяк"
rum,"ром"
coffee,"кофе"
black coffee,"черный кофе"
cappuccino,"капучино"
instant coffee,"растворимый кофе"
milk,"молоко"
cocktail,"коктейль"
milk shake,"молочный коктейль"
juice,"сок"
tomato juice,"томатный сок"
orange juice,"апельсиновый сок"
freshly squeezed juice,"свежевыжатый сок"
beer,"пиво"
lager,"светлое пиво"
bitter,"тёмное пиво"
tea,"чай"
black tea,"черный чай"
green tea,"зеленый чай"
