Albania,"Албания"
Albanian,"албанец, албанка, албанский"
Bulgaria,"Болгария"
Bulgarian,"болгарин, болгарка, болгарский"
Hungary,"Венгрия"
Hungarian,"венгр, венгерка, венгерский"
Latvia,"Латвия"
Latvian,"латыш, латышка, латышский"
Lithuania,"Литва"
Lithuanian,"литовец, литовка, литовский"
Poland,"Польша"
Pole,"поляк, полька"
Polish,"польский"
Romania,"Румыния"
Romanian,"румын, румынка, румынский"
Serbia,"Сербия"
Serbian,"серб, сербка, сербский"
Slovakia,"Словакия"
Slovak,"словак, словачка, словацкий"
Croatia,"Хорватия"
Croatian,"хорват, хорватка, хорватский"
The Czech Republic,"Чехия"
Czech,"чех, чешка, чешский"
Estonia,"Эстония"
Estonian,"эстонец, эстонка, эстонский"
Bosnia-Herzegovina,"Босния и Герцеговина"
Macedonia,"Македония"
Slovenia,"Словения"
Montenegro,"Черногория"
