thunderstorm,"гроза"
lightning,"молния"
to flash,"сверкать"
thunder,"гром"
to thunder,"греметь (о громе)"
it's thundering,"гремит гром"
hail,"град"
it's hailing,"идёт град"
to flood,"затопить"
flood,"наводнение"
earthquake,"землетрясение"
tremor,"подземный толчок"
epicenter,"эпицентр"
eruption,"извержение"
lava,"лава"
twister,"смерч"
tornado,"торнадо"
typhoon,"тайфун"
hurricane,"ураган"
storm,"буря"
tsunami,"цунами"
cyclone,"циклон"
bad weather,"непогода"
fire,"пожар"
disaster,"катастрофа"
meteorite,"метеорит"
avalanche,"лавина"
snow fall,"снежный обвал"
blizzard,"метель"
snowstorm,"вьюга"
