engine,"двигатель"
motor,"мотор"
diesel,"дизельный"
petrol,"бензиновый"
engine volume,"объём двигателя"
power,"мощность"
horsepower,"лошадиная сила"
piston,"поршень"
cylinder,"цилиндр"
valve,"клапан"
injector,"инжектор"
generator,"генератор"
carburetor,"карбюратор"
engine oil,"моторное масло"
radiator,"радиатор"
coolant,"охлаждающая жидкость"
cooling fan,"вентилятор"
battery,"аккумулятор"
starter,"стартер"
ignition,"зажигание"
sparking plug,"свеча зажигания"
terminal,"клемма"
positive terminal,"плюс (клемма)"
negative terminal,"минус (клемма)"
fuse,"предохранитель"
air filter,"воздушный фильтр"
oil filter,"масляный фильтр"
fuel filter,"топливный фильтр"
