exhibition,"выставка"
trade show,"торговая выставка"
participation,"участие"
to participate,"участвовать"
participant,"участник"
director,"директор"
organizer,"организатор"
to organize,"организовывать"
participation form,"заявка на участие"
to fill in,"заполнить (документ)"
details,"детали (подробности)"
information,"информация"
price,"цена"
including,"включая (о цене)"
to include,"включать (о цене)"
to pay,"платить"
registration fee,"регистрационный взнос"
entrance,"вход"
pavilion,"павильон"
to register,"регистрировать"
badge,"бейдж"
stand,"выставочный стенд"
to reserve,"резервировать"
display case,"витрина"
spotlight,"светильник"
design,"дизайн"
to place,"располагать (размещать)"
to be placed,"располагаться"
distributor,"дистрибьютор"
supplier,"поставщик"
to supply,"поставлять"
country,"страна"
foreign,"иностранный"
product,"продукт"
association,"ассоциация"
conference hall,"конференц-зал"
congress,"конгресс"
contest,"конкурс"
visitor,"посетитель"
to visit,"посещать"
customer,"заказчик"
