infringement,"нарушение"
to infringe,"нарушать"
strike,"забастовка"
striker,"забастовщик"
to be on strike,"бастовать"
trade union,"профсоюз"
to invent,"изобретать"
invention,"изобретение"
research,"исследование (поиск)"
to improve,"улучшать"
technology,"технология"
technical drawing,"чертёж"
cargo,"груз"
loader,"грузчик"
to load,"грузить"
loading,"погрузка"
to unload,"разгружать"
unloading,"разгрузка"
transport,"транспорт"
transport company,"транспортная компания"
to transport,"транспортировать"
wagon,"вагон (товарный)"
cistern,"цистерна"
lorry,"грузовик"
machine tool,"станок"
mechanism,"механизм"
industrial waste,"отходы"
packing,"упаковка (действие)"
to pack,"упаковать"
