medicine,"лекарство"
remedy,"средство (мед.)"
to prescribe,"прописать (лекарство)"
prescription,"рецепт"
tablet,"таблетка"
ointment,"мазь"
ampoule,"ампула"
mixture,"микстура"
syrup,"сироп"
pill,"пилюля"
powder,"порошок"
bandage,"бинт"
cotton wool,"вата"
iodine,"йод"
plaster,"лейкопластырь"
eyedropper,"пипетка"
thermometer,"градусник"
syringe,"шприц"
wheelchair,"инвалидная коляска"
crutches,"костыли"
painkiller,"обезболивающее"
laxative,"слабительное"
spirit,"спирт"
medicinal herbs,"лекарственная трава"
herbal,"травяной (чай и т.п.)"
