vegetables,"овощи"
greens,"зелень"
tomato,"помидор"
cucumber,"огурец"
carrot,"морковь"
potato,"картофель"
onion,"луковица"
garlic,"чеснок"
cabbage,"капуста"
cauliflower,"цветная капуста"
Brussels sprouts,"брюссельская капуста"
broccoli,"капуста брокколи"
beetroot,"свёкла"
eggplant,"баклажан"
marrow,"кабачок"
pumpkin,"тыква"
turnip,"репа"
parsley,"петрушка"
dill,"укроп"
lettuce,"салат (латук)"
celery,"сельдерей"
asparagus,"спаржа"
spinach,"шпинат"
pea,"горох"
beans,"бобы"
maize,"кукуруза"
kidney bean,"фасоль"
bell pepper,"перец"
radish,"редис"
artichoke,"артишок"
