poppy,"мак"
hemp,"конопля"
mint,"мята"
lily of the valley,"ландыш"
snowdrop,"подснежник"
nettle,"крапива"
sorrel,"щавель"
water lily,"кувшинка"
fern,"папоротник"
lichen,"лишайник"
tropical glasshouse,"оранжерея"
lawn,"газон"
flowerbed,"клумба"
plant,"растение"
grass,"трава"
leaf,"лист растения"
petal,"лепесток"
stem,"стебель"
tuber,"клубень"
young plant,"росток"
thorn,"шип растения"
to blossom,"цвести"
to fade,"вянуть"
smell,"запах"
to cut,"срезать"
to pick,"сорвать (цветок)"
