football,"футбол"
football player,"футболист"
to play football,"играть в футбол"
major league,"высшая лига"
football club,"футбольный клуб"
coach,"тренер"
owner,"владелец"
team,"команда"
team captain,"капитан команды"
player,"игрок"
substitute,"запасной игрок"
forward,"нападающий"
centre forward,"центральный нападающий"
striker,"бомбардир"
defender,"защитник"
halfback,"полузащитник"
match,"матч"
to meet,"встречаться"
final,"финал"
semi-final,"полуфинал"
championship,"чемпионат"
period,"период"
first period,"1-й тайм"
half-time,"перерыв"
goal,"ворота (футб.)"
goalkeeper,"вратарь"
goalpost,"штанга"
crossbar,"перекладина (ворот)"
net,"сетка (ворот)"
to concede a goal,"пропустить гол"
ball,"мяч"
pass,"пас, передача"
kick,"удар"
to kick,"нанести удар"
free kick,"штрафной удар"
corner kick,"угловой удар"
attack,"атака"
