forest,"лес, лесной"
thick forest,"чаща"
grove,"роща"
clearing,"поляна"
thicket,"заросли"
scrubland,"кустарник"
footpath,"тропинка"
gully,"овраг"
tree,"дерево"
leaf,"лист"
leaves,"листва"
falling leaves,"листопад"
to fall,"опадать (о листьях)"
top,"верхушка (дерева)"
branch,"ветка"
bough,"сук"
bud,"почка"
needle,"иголка"
fir cone,"сосновая шишка"
hollow,"дупло"
nest,"гнездо"
burrow,"нора"
trunk,"ствол (дерева)"
root,"корень"
bark,"кора"
moss,"мох"
to uproot,"корчевать"
to chop down,"рубить (дерево)"
to deforest,"вырубать лес"
tree stump,"пень"
campfire,"костёр"
forest fire,"лесной пожар"
to extinguish,"тушить"
forest ranger,"лесник"
protection,"охрана (растений)"
to protect,"охранять (природу)"
poacher,"браконьер"
trap,"капкан"
to gather,"собирать (грибы, ягоды)"
to lose one's way,"заблудиться"
