fruit,"фрукт"
berry,"ягода"
apple,"яблоко"
pear,"груша"
plum,"слива"
strawberry,"клубника"
sour cherry,"вишня"
sweet cherry,"черешня"
grape,"виноград"
raspberry,"малина"
blackcurrant,"чёрная смородина"
redcurrant,"красная смородина"
gooseberry,"крыжовник"
cranberry,"клюква"
orange,"апельсин"
tangerine,"мандарин"
pineapple,"ананас"
banana,"банан"
date,"финик"
lemon,"лимон"
apricot,"абрикос"
peach,"персик"
kiwi,"киви"
grapefruit,"грейпфрут"
cowberry,"брусника"
wild strawberry,"земляника"
bilberry,"черника"
