Amsterdam,"Амстердам"
Ankara,"Анкара"
Athens,"Афины"
Baghdad,"Багдад"
Bangkok,"Бангкок"
Barcelona,"Барселона"
Beirut,"Бейрут"
Berlin,"Берлин"
Bombay,"Бомбей"
Bonn,"Бонн"
Bordeaux,"Бордо"
Bratislava,"Братислава"
Brussels,"Брюссель"
Budapest,"Будапешт"
Bucharest,"Бухарест"
Warsaw,"Варшава"
Washington,"Вашингтон"
Vienna,"Вена"
Venice,"Венеция"
The Hague,"Гаага"
Havana,"Гавана"
Hamburg,"Гамбург"
Hong Kong,"Гонконг"
Dar-es-Salaam,"Дар-эс-Салам"
Delhi,"Дели"
Dubai,"Дубай"
Dublin,"Дублин"
Dusseldorf,"Дюссельдорф"
Geneva,"Женева"
Jerusalem,"Иерусалим"
Cairo,"Каир"
Calcutta,"Калькутта"
Kiev,"Киев"
Copenhagen,"Копенгаген"
Kuala Lumpur,"Куала-Лумпур"
Lyons,"Лион"
