foreigner,"иностранец"
foreign,"иностранный"
abroad,"за границей"
emigrant,"эмигрант"
emigration,"эмиграция"
to emigrate,"эмигрировать"
the West,"Запад"
the East,"Восток"
the Far East,"Дальний Восток"
civilization,"цивилизация"
humanity,"человечество"
world,"мир (вся планета)"
peace,"мир (спокойствие)"
worldwide,"всемирный"
homeland,"Родина"
people,"люди, народ"
population,"население"
nation,"нация"
generation,"поколение"
territory,"территория"
region,"регион"
state,"штат"
tradition,"традиция"
custom,"обычай"
ecology,"экология"
Indian,"индеец"
Gipsy,"цыган, цыганка, цыганский"
empire,"империя"
colony,"колония"
slavery,"рабство"
invasion,"нашествие"
famine,"голод (бедствие)"
