square,"квадрат, квадратный"
circle,"круг"
round,"круглый"
triangle,"треугольник"
triangular,"треугольный"
oval,"овал, овальный"
rectangle,"прямоугольник"
rectangular,"прямоугольный"
pyramid,"пирамида"
rhombus,"ромб"
trapezium,"трапеция"
cube,"куб"
prism,"призма"
circumference,"окружность"
sphere,"сфера"
globe,"шар (геометр.)"
diameter,"диаметр"
radius,"радиус"
perimeter,"периметр"
center,"центр"
horizontal,"горизонтальный"
vertical,"вертикальный"
parallel,"параллель, параллельный"
line,"линия"
stroke,"черта"
straight line,"прямая (сущ.)"
curve,"кривая (сущ.)"
thin,"тонкий"
contour,"контур"
intersection,"пересечение"
right angle,"прямой угол"
segment,"сегмент"
sector,"сектор"
side,"сторона"
angle,"угол"
