society,"общество"
constitution,"конституция"
power,"власть"
corruption,"коррупция"
law,"закон"
legal,"законный"
justice,"справедливость"
just,"справедливый"
committee,"комитет"
bill,"законопроект"
budget,"бюджет"
policy,"политика (курс)"
reform,"реформа"
radical,"радикальный"
powerful,"могущественный"
supporter,"сторонник"
influence,"влияние"
regime,"режим"
conflict,"конфликт"
conspiracy,"заговор"
provocation,"провокация"
to overthrow,"свергнуть"
overthrow,"свержение"
revolution,"революция"
coup d'etat,"государственный переворот"
military coup,"военный переворот"
crisis,"кризис"
economic recession,"экономический спад"
demonstrator,"демонстрант"
demonstration,"демонстрация"
martial law,"военное положение"
military base,"военная база"
stability,"стабильность"
stable,"стабильный"
exploitation,"эксплуатация"
to exploit,"эксплуатировать"
racism,"расизм"
racist,"расист"
fascism,"фашизм"
fascist,"фашист"
