head,"голова"
face,"лицо"
nose,"нос"
mouth,"рот"
eye,"глаз"
eyes,"глаза"
pupil,"зрачок"
eyebrow,"бровь"
eyelash,"ресница"
eyelid,"веко"
tongue,"язык"
tooth,"зуб"
lips,"губы"
cheekbones,"скулы"
gum,"десна"
palate,"нёбо"
nostrils,"ноздри"
chin,"подбородок"
jaw,"челюсть"
cheek,"щека"
forehead,"лоб"
temple,"висок"
ear,"ухо"
back of the head,"затылок"
neck,"шея"
throat,"горло"
hair,"волосы"
hairstyle,"прическа"
haircut,"стрижка (прическа)"
wig,"парик"
mustache,"усы"
beard,"борода"
to have mustache,"носит усы"
plait,"коса"
sideboards,"бакенбарды"
red-haired,"рыжий (человек)"
grey,"седо (о волосах)"
bald,"лысый"
bald patch,"лысина"
ponytail,"хвост (прическа)"
fringe,"челка"
