celebration,"праздник"
national day,"национальный праздник"
public holiday,"праздничный день"
to celebrate,"праздновать"
event,"событие, мероприятие"
banquet,"банкет"
reception,"приём (гостей)"
feast,"пир"
anniversary,"годовщина"
jubilee,"юбилей"
New Year,"Новый год"
Happy New Year!,"С Новым Годом!"
Santa Claus,"Санта Клаус"
Christmas tree,"Новогодняя ёлка"
Christmas,"Рождество"
Merry Christmas!,"Весёлого Рождества!"
fireworks,"салют"
wedding,"свадьба"
groom,"жених"
bride,"невеста"
to invite,"приглашать"
invitation card,"пригласительный билет"
guest,"гость"
to visit with,"идти в гости"
to greet the guests,"встречать гостей"
gift,"подарок"
to give,"дарить (подарок)"
to receive gifts,"получать подарки"
bouquet,"букет"
congratulation,"поздравление"
to congratulate,"поздравлять"
greetings card,"поздравительная открытка"
to send a postcard,"отправить открытку"
to get a postcard,"получить открытку"
toast,"тост"
to offer,"угощать, предлагать"
champagne,"шампанское"
to have fun,"веселиться"
fun,"веселье"
joy,"радость"
dance,"танец"
to dance,"танцевать"
waltz,"вальс"
tango,"танго"
