house,"дом"
at home,"дома (у себя)"
courtyard,"двор"
fence,"забор, ограда"
brick,"кирпич, кирпичный"
stone,"камень, каменный"
concrete,"бетон, бетонный"
new,"новый"
old,"старый"
decrepit,"ветхий"
modern,"современный"
multistory,"многоэтажный"
high,"высокий"
floor,"этаж"
one-story,"одноэтажный"
ground floor,"нижний этаж"
top floor,"верхний этаж"
roof,"крыша"
chimney,"труба"
tiles,"черепица"
attic,"чердак"
window,"окно"
glass,"стекло"
window ledge,"подоконник"
shutters,"ставни"
wall,"стена"
balcony,"балкон"
drainpipe,"водосточная труба"
upstairs,"наверху"
to go upstairs,"подниматься"
to come down,"спускаться"
to move,"переезжать"
