horse,"лошадь, конь"
breed,"порода"
foal,"жеребёнок"
mare,"кобыла"
mustang,"мустанг"
pony,"пони"
draught horse,"тяжеловоз"
mane,"грива"
tail,"хвост"
hoof,"копыто"
horseshoe,"подкова"
to shoe,"подковать"
blacksmith,"кузнец"
saddle,"седло"
stirrup,"стремя"
bridle,"уздечка"
reins,"вожжи"
whip,"плётка"
rider,"наездник"
to break in,"объезжать (лошадь)"
to saddle,"оседлать"
to mount a horse,"сесть в седло"
gallop,"галоп"
to gallop,"скакать галопом"
trot,"рысь"
at a trot,"рысью"
to go at a trot,"скакать рысью"
racehorse,"скаковая лошадь"
races,"скачки"
stable,"конюшня"
to feed,"кормить"
hay,"сено"
to water,"поить"
to wash,"чистить"
to hobble,"стреножить"
horse-drawn cart,"воз, повозка"
to graze,"пастись"
to neigh,"ржать"
to jib,"лягнуть"
